0,3,5
0,7,7
0,12,3
0,17,2
0,19,2
0,20,2
0,25,4
0,26,2
0,27,1
0,29,1
1,3,11
1,4,7
1,5,4
1,6,3
1,7,1
1,8,6
1,11,3
1,12,1
1,13,2
1,15,2
1,16,1
1,18,1
1,19,1
1,22,1
1,23,2
1,24,1
1,25,1
1,27,1
1,29,2
1,30,2
1,31,3
1,33,1
2,3,4
2,4,1
2,5,2
2,6,1
2,7,2
2,8,1
2,10,10
2,20,1
2,28,4
2,29,1
2,30,1
2,33,2
3,4,5
3,5,2
3,7,4
3,8,1
3,13,3
3,15,1
3,17,1
3,19,2
3,20,1
3,22,1
3,23,2
3,25,1
3,26,2
3,29,3
3,31,1
3,32,1
4,5,1
4,7,1
4,8,2
4,20,1
4,23,1
4,24,1
4,29,1
4,30,1
4,31,2
5,6,1
5,7,2
5,8,7
5,9,2
5,11,1
5,12,1
5,13,1
5,15,1
5,18,3
5,20,2
5,27,2
5,29,1
5,31,4
5,33,1
5,34,1
6,8,2
6,9,1
6,15,1
6,16,1
6,19,1
6,21,3
6,22,1
6,23,1
6,29,1
6,31,1
6,32,1
6,33,1
7,10,1
7,12,1
7,13,1
7,16,1
7,17,1
7,19,3
7,20,2
7,23,1
7,24,1
7,27,1
7,29,2
7,31,2
7,32,1
8,9,2
8,15,1
8,16,2
8,18,1
8,19,1
8,22,1
8,23,1
8,25,1
8,26,1
8,33,1
8,34,1
9,12,1
9,14,9
9,16,2
9,20,1
9,21,1
9,23,1
9,27,1
9,34,4
10,17,1
10,27,1
10,28,2
10,29,1
10,33,9
12,13,2
12,18,2
12,19,1
12,23,3
12,29,1
13,15,1
13,19,1
13,24,1
13,27,1
13,29,1
14,34,5
15,16,3
15,18,1
15,19,1
15,20,1
15,22,1
15,31,2
16,19,1
16,20,2
16,22,1
16,23,1
16,27,3
16,29,1
16,33,2
17,20,2
17,22,1
17,24,1
17,25,1
17,26,1
17,27,1
17,29,2
17,30,1
18,30,1
18,32,1
19,20,4
19,22,3
19,25,2
19,26,6
19,27,3
19,29,2
19,31,1
19,33,1
20,26,1
20,27,4
20,29,3
20,30,2
20,31,1
20,32,1
21,23,3
21,29,1
21,31,1
22,23,2
22,24,2
22,25,1
22,29,1
23,29,3
24,25,1
24,30,1
24,33,2
25,26,2
25,27,1
25,29,1
25,33,1
26,27,4
26,29,4
26,30,5
26,31,1
27,29,2
27,31,1
28,29,1
28,33,4
29,33,2
32,34,1
